Patent,Cit_Date,Citation
6009593,1976-10-01,3987512
6009593,1985-01-01,4490873
6009593,1988-09-01,4771498
6009593,1989-03-01,4809397
6009593,1990-01-01,4893375
6009593,1992-02-01,5088149
6009594,1993-05-01,5212848
6009594,1994-04-01,5301387
6009594,1996-09-01,5555599
6009594,1998-10-01,5819366
6009595,1978-10-01,4118826
6009595,1984-07-01,4458377
6009595,1989-01-01,4797072
6009595,1992-02-01,5090088
6009595,1992-06-01,5119619
6009595,1993-03-01,5195208
6009595,1993-12-01,5272858
6009595,1994-03-01,5294063
6009595,1998-03-01,5722110
6009595,1998-04-01,5735018
6009596,1975-09-01,3909197
6009596,1975-10-01,3914592
6009596,1976-02-01,3939527
6009596,1976-03-01,3942217
6009596,1976-08-01,3977797
6009596,1977-05-01,4021144
6009596,1978-03-01,4080104
6009596,1978-05-01,4087706
6009596,1978-05-01,4087881
6009596,1978-09-01,4114229
6009596,1978-11-01,4123818
6009596,1979-02-01,4138761
6009596,1979-05-01,4153968
6009596,1979-10-01,4171208
6009596,1979-12-01,4179768
6009596,1980-01-01,4185354
6009596,1980-03-01,4194262
6009596,1980-06-01,4207649
6009596,1980-08-01,4216563
6009596,1980-08-01,4218805
6009596,1980-10-01,4226000
6009596,1981-01-01,4244079
6009596,1981-05-01,4267617
6009596,1981-09-01,4287636
6009596,1982-02-01,4314385
6009596,1982-03-01,4318202
6009596,1982-03-01,4321219
6009596,1982-05-01,4329756
6009596,1982-09-01,4348783
6009596,1982-10-01,4353145
6009596,1983-08-01,4397057
6009596,1984-07-01,4458377
6009596,1987-04-01,4654926
6009596,1987-05-01,4667364
6009596,1987-06-01,4675935
6009596,1988-02-01,4723337
6009596,1988-05-01,4741069
6009596,1988-10-01,4776058
6009596,1988-12-01,4788738
6009596,1989-01-01,4800612
6009596,1989-01-01,4800613
6009596,1989-01-01,4801376
6009596,1989-03-01,4809396
6009596,1989-05-01,4827562
6009596,1989-06-01,4841595
6009596,1989-07-01,4845793
6009596,1989-07-01,4847943
6009596,1989-09-01,4864680
6009596,1990-06-01,4934017
6009596,1990-08-01,4949424
6009596,1990-09-01,4956891
6009596,1990-12-01,4974282
6009596,1990-12-01,4976850
6009596,1990-12-01,4977638
6009596,1991-05-01,5012549
6009596,1991-09-01,5048148
6009596,1992-02-01,5086537
6009596,1992-03-01,5099543
6009596,1992-06-01,5120922
6009596,1992-06-01,5125126
6009596,1992-08-01,5134748
6009596,1992-12-01,5174730
6009596,1993-02-01,5182834
6009596,1993-02-01,5184370
6009596,1993-03-01,5189755
6009596,1993-05-01,5210902
6009596,1993-09-01,5244003
6009596,1993-11-01,5263225
6009596,1993-12-01,5267370
6009596,1994-02-01,5287587
