sno,citing,cited,ncites
357,6486528,3930304,58
358,6489881,3930304,58
359,6495902,3930304,58
360,6551864,3930304,58
361,6664500,3930304,58
362,6672780,3930304,58
363,6830391,3930304,58
364,6838367,3930304,58
365,6879018,3930304,58
366,6979601,3930304,58
367,7037014,3930304,58
368,7119414,3930304,58
369,4005454,3930306,5
370,4059837,3930306,5
371,4757610,3930306,5
372,5008735,3930306,5
373,7060533,3930306,5
374,4126935,3930307,8
375,4218745,3930307,8
376,4309066,3930307,8
377,4561155,3930307,8
378,5659954,3930307,8
379,6035517,3930307,8
380,6330746,3930307,8
381,6925429,3930307,8
382,4077115,3930308,6
383,4093480,3930308,6
384,4100856,3930308,6
385,4820170,3930308,6
386,4840569,3930308,6
387,4897054,3930308,6
388,4120088,3930309,10
389,4148140,3930309,10
390,4354313,3930309,10
391,4604803,3930309,10
392,5116351,3930309,10
393,5528831,3930309,10
394,6363615,3930309,10
395,6430816,3930309,10
396,6666759,3930309,10
397,6751868,3930309,10
398,4316328,3930310,7
399,4472880,3930310,7
400,4593733,3930310,7
401,4646607,3930310,7
402,6336273,3930310,7
403,6676495,3930310,7
404,7131205,3930310,7
405,4107844,3930311,28
406,4582487,3930311,28
407,4842512,3930311,28
408,4954080,3930311,28
409,5028232,3930311,28
410,5064369,3930311,28
411,5254002,3930311,28
412,5318440,3930311,28
413,5358402,3930311,28
414,5380196,3930311,28
415,5429499,3930311,28
416,5445770,3930311,28
417,5522725,3930311,28
418,5575644,3930311,28
419,5595484,3930311,28
420,5597302,3930311,28
421,5618175,3930311,28
422,5622494,3930311,28
423,5692898,3930311,28
424,5707231,3930311,28
425,5769634,3930311,28
426,5813852,3930311,28
427,5816801,3930311,28
428,5829973,3930311,28
429,6071117,3930311,28
430,6095808,3930311,28
431,6164964,3930311,28
432,6799966,3930311,28
433,4103424,3930312,5
434,4155163,3930312,5
435,4417873,3930312,5
436,5586884,3930312,5
437,5720613,3930312,5
438,4707925,3930315,3
439,6237233,3930315,3
440,6966119,3930315,3
441,4440168,3930316,4
442,5137007,3930316,4
443,5325598,3930316,4
444,6722075,3930316,4
445,5280744,3930317,4
446,5438404,3930317,4
447,5619323,3930317,4
448,7065888,3930317,4
449,4025795,3930318,9
450,4233754,3930318,9
451,4257172,3930318,9
